,state,action_space,reward,Q,action
208,"[2, 3]",u,1,0.09561792499119551,0
209,"[0, 0]",l,0,2.0747799945526427e-14,2
210,"[1, 0]",d,0,2.8886489611792285e-12,1
211,"[1, 1]",d,-1,-0.0199,1
212,"[0, 0]",l,0,4.653816259668422e-14,2
213,"[1, 0]",d,0,4.376959708989078e-12,1
214,"[1, 1]",r,0,3.5294105588282786e-10,3
215,"[0, 1]",d,0,3.708090093806541e-08,1
216,"[0, 2]",l,-1,-0.029701,2
217,"[0, 0]",l,0,8.546541835161908e-14,2
218,"[1, 0]",d,0,7.509659614844639e-12,1
219,"[1, 1]",r,0,6.831397537665883e-10,3
220,"[0, 1]",d,0,5.332556329244098e-08,1
221,"[0, 2]",d,0,2.711476390125354e-06,1
222,"[0, 3]",l,0,0.00013769101314296722,2
223,"[1, 3]",l,0,0.005312900835289895,2
224,"[2, 3]",u,1,0.10466174574128355,0
225,"[0, 0]",l,0,1.5219770070170466e-13,2
226,"[1, 0]",d,0,1.3582820802595489e-11,1
227,"[1, 1]",r,0,1.1562384258608912e-09,3
228,"[0, 1]",d,0,7.719559517064475e-08,1
229,"[0, 2]",d,0,3.923580744510805e-06,1
230,"[0, 3]",l,0,0.0001841302105291466,2
231,"[1, 3]",l,0,0.006201727538608548,2
232,"[2, 3]",u,1,0.11361512828387071,0
233,"[0, 0]",l,0,2.72921110918047e-13,2
234,"[1, 0]",d,0,2.3853138427317555e-11,1
235,"[1, 1]",r,0,1.8394363981380852e-09,3
236,"[0, 1]",d,0,1.1173586591953556e-07,1
237,"[0, 2]",d,0,5.541516831828017e-06,1
238,"[0, 3]",l,0,0.00023810445627133207,2
239,"[1, 3]",l,0,0.0071622464177772995,2
240,"[2, 3]",u,1,0.12247897700103201,0
241,"[0, 0]",l,0,4.848701456547245e-13,2
242,"[1, 0]",d,0,4.016953462628715e-11,1
243,"[1, 1]",r,0,2.8266648274325245e-09,3
244,"[0, 1]",d,0,1.6049215874679236e-07,1
245,"[0, 2]",d,0,7.629041769951726e-06,1
246,"[0, 3]",l,0,0.0003001836294686145,2
247,"[1, 3]",l,0,0.008192934746608815,2
248,"[2, 3]",d,0,0.001102310793009288,1
249,"[2, 3]",u,1,0.1312541872310217,0
250,"[0, 0]",u,0,4.3638313108925215e-15,0
251,"[0, 0]",l,0,8.415472558347616e-13,2
252,"[1, 0]",d,0,6.5207822726917e-11,1
253,"[1, 1]",r,0,4.24282760787933e-09,3
254,"[0, 1]",d,0,2.2754861308888996e-07,1
255,"[0, 2]",d,0,1.0254404017469738e-05,1
256,"[0, 3]",l,0,0.00037091820589340766,2
257,"[1, 3]",l,0,0.009292293084221923,2
258,"[2, 3]",u,1,0.13994164535871148,0
259,"[0, 0]",l,0,1.420002187818667e-12,2
260,"[1, 0]",u,0,5.89004805993836e-13,0
261,"[1, 0]",d,0,1.0274119297056181e-10,1
262,"[1, 1]",r,0,6.248336849600547e-09,3
263,"[0, 1]",d,0,3.1756276311522873e-07,1
264,"[0, 2]",d,0,1.349012383033571e-05,1
265,"[0, 3]",l,0,0.0004508396615924709,2
266,"[1, 3]",l,0,0.010458844961608108,2
267,"[2, 3]",u,1,0.14854222890512436,0
268,"[0, 0]",l,0,2.3304729026755366e-12,2
269,"[1, 0]",d,0,1.5794881268726112e-10,1
270,"[1, 1]",r,0,9.0439183491416e-09,3
271,"[0, 1]",d,0,4.357982499570978e-07,1
272,"[0, 2]",d,0,1.741277954636459e-05,1
273,"[0, 3]",l,0,0.0005404608696310191,2
274,"[1, 3]",l,0,0.011691136572138145,2
275,"[2, 3]",u,1,0.15705680661607313,0
276,"[0, 0]",l,0,3.728707487834131e-12,2
277,"[1, 0]",d,0,2.3776458970266294e-10,1
278,"[1, 1]",d,-1,-0.029701,1
279,"[0, 0]",l,0,5.831301720279756e-12,2
280,"[1, 0]",d,0,3.167822089479107e-10,1
281,"[1, 1]",r,0,1.2875663415264064e-08,3
282,"[0, 1]",d,0,5.881552833748081e-07,1
283,"[0, 2]",d,0,2.2102799577580117e-05,1
284,"[0, 3]",l,0,0.0006402764900839522,2
285,"[1, 3]",l,0,0.012987736465961422,2
286,"[2, 3]",u,1,0.1654862385499124,0
287,"[0, 0]",l,0,8.624028583608155e-12,2
288,"[1, 0]",d,0,4.294953575958082e-10,1
289,"[1, 1]",r,0,1.8040304331484695e-08,3
290,"[0, 1]",d,0,7.811989267392811e-07,1
291,"[0, 2]",d,0,2.7644259992559886e-05,1
292,"[0, 3]",l,0,0.0007507633533767655,2
293,"[1, 3]",l,0,0.01434723524825102,2
294,"[2, 3]",u,1,0.17383137616441327,0
295,"[0, 0]",l,0,1.2403246516134347e-11,2
296,"[1, 0]",d,0,5.875631430032124e-10,1
297,"[1, 1]",r,0,2.489069162882338e-08,3
298,"[0, 1]",u,0,1.1162921864520913e-13,0
299,"[0, 0]",l,0,1.7567282338001914e-11,2
300,"[1, 0]",u,0,5.8711830449628095e-12,0
301,"[1, 0]",u,0,1.1100539501542094e-11,0
302,"[1, 0]",d,0,8.057037362325907e-10,1
303,"[1, 1]",r,0,3.1672575053188675e-08,3
304,"[0, 1]",d,0,1.0221852774049273e-06,1
305,"[0, 2]",d,0,3.4124687573025175e-05,1
306,"[0, 3]",l,0,0.000872380837077257,2
307,"[1, 3]",d,0,0.00012912511723425917,1
308,"[1, 3]",l,0,0.01576824528124823,2
309,"[2, 3]",u,1,0.18209306240276912,0
310,"[0, 0]",l,0,2.464294314071521e-11,2
311,"[1, 0]",d,0,1.082699874348963e-09,1
312,"[1, 1]",l,-1,-0.0199,2
313,"[0, 0]",l,0,3.414081257844873e-11,2
314,"[1, 0]",d,0,1.3569260510841713e-09,1
315,"[1, 1]",r,0,4.055551679930113e-08,3
316,"[0, 1]",d,0,1.3190856127881046e-06,1
317,"[0, 2]",r,0,3.071221881572266e-07,3
318,"[0, 2]",d,0,4.163486823099024e-05,1
319,"[0, 3]",l,0,0.0010055712362377184,2
320,"[1, 3]",l,0,0.01724940039006067,2
321,"[2, 3]",u,1,0.19027213177874144,0
322,"[0, 0]",l,0,4.601173891242179e-11,2
323,"[1, 0]",d,0,1.7083564417670397e-09,1
